account_id,customer_name,residential_loc
1000,Allison Hill,"(19.2913495, -102.565461)"
1001,Noah Rhodes,"(54.851157, 135.074752)"
1002,Angie Henderson,"(-5.5881645, -176.362517)"
1003,Daniel Wagner,"(73.636761, -151.561455)"
1004,Cristian Santos,"(6.193715, 135.383568)"
1005,Connie Lawrence,"(-57.872738, -141.874976)"
1006,Abigail Shaffer,"(74.779228, -145.839584)"
1007,Gina Moore,"(52.2095825, 42.109637)"
1008,Gabrielle Davis,"(-46.7262665, -75.514739)"
1009,Ryan Munoz,"(-23.213385, 142.941524)"
1010,Monica Herrera,"(-41.858567, -82.698538)"
1011,Jamie Arnold,"(-82.0844945, 168.647734)"
1012,Lisa Hensley,"(42.868853, -115.843874)"
1013,Michele Williams,"(-0.9357685, -132.161726)"
1014,Dylan Miller,"(-64.7237345, 36.657094)"
1015,Brian Ramirez,"(64.0827265, 28.011247)"
1016,Holly Wood,"(19.407362, 24.703890)"
1017,Derek Zuniga,"(37.3478105, -105.638279)"
1018,Lisa Jackson,"(2.1526415, -81.758208)"
1019,Carla Gray,"(-64.266891, -12.928250)"
1020,Margaret Hawkins DDS,"(5.336719, -84.753222)"
1021,Patty Perez,"(25.5241215, -44.700943)"
1022,Ethan Adams,"(44.132318, -131.287289)"
1023,Tommy Walter,"(-40.455839, -40.142138)"
1024,Matthew Foster,"(17.757443, -72.299780)"
1025,Judy Baker,"(-29.161733, 8.549430)"
1026,Justin Baker,"(83.738210, 159.843223)"
1027,Stephanie Ross,"(-68.1041485, 2.385879)"
1028,Zachary Hicks,"(31.259674, -129.519163)"
1029,Anthony Rodriguez,"(50.6245505, -41.611952)"
1030,Rebecca Henderson,"(-84.5237125, 145.429364)"
1031,James Ferrell,"(-73.652044, 119.106025)"
1032,Tricia Valencia,"(-74.123063, 20.331761)"
1033,Nathan Maldonado,"(-64.367012, -89.530212)"
1034,Debra Davidson,"(-89.5359035, 104.069658)"
1035,Jeffrey Chavez,"(-86.623490, -177.497629)"
1036,Sherri Baker,"(-2.2592775, 26.562973)"
1037,Cassandra Gaines,"(-7.787913, -165.153611)"
1038,Elizabeth Fowler,"(62.492452, 122.454120)"
1039,Brittany Farmer,"(10.6192765, -142.746941)"
1040,Paula Moreno,"(-43.7236175, -78.809448)"
1041,Fred Smith,"(80.854270, 153.328329)"
1042,Sherry Decker,"(43.7349085, -82.404007)"
1043,Anthony Humphrey,"(53.670412, -62.761431)"
1044,Angelica Tucker,"(2.676795, -127.941894)"
1045,Philip Cannon,"(-48.4807745, 141.971312)"
1046,John Pierce,"(10.440038, 128.155856)"
1047,Shane Henderson,"(-42.506175, 56.597715)"
1048,Joshua Blair,"(-42.3548505, 92.370037)"
1049,Eric Carney,"(-50.0434485, 58.964705)"
1050,Jessica Holmes,"(-81.8552205, 153.978061)"
1051,Danny Morgan,"(-79.5916085, 108.616351)"
1052,Crystal Robinson,"(-57.711758, -12.675942)"
1053,Mark Perez,"(-11.769601, -122.138778)"
1054,Shannon Jones,"(3.6984755, -83.139492)"
1055,Michael Lewis,"(68.405460, 98.361583)"
1056,Timothy Duncan,"(-45.067850, -126.462392)"
